compression_level,zlib_strategy,filter_choice,speedup_avg,size_increase_avg,speedup_worst,speedup_best,size_increase_worst,size_increase_best
0,Z_DEFAULT_STRATEGY,DISABLED,76.09,1.85,54.51,93.38,2.32,1.49
1,Z_FILTERED,DISABLED,6.09,1.10,3.41,8.69,1.19,1.01
1,Z_FIXED,DISABLED,6.09,1.10,3.41,8.69,1.19,1.01
1,Z_DEFAULT_STRATEGY,DISABLED,6.08,1.10,3.39,8.68,1.19,1.01
1,Z_RLE,DISABLED,6.09,1.10,3.41,8.66,1.19,1.01
1,Z_HUFFMAN_ONLY,DISABLED,6.08,1.10,3.41,8.63,1.19,1.01
2,Z_FIXED,DISABLED,5.48,1.09,3.21,7.92,1.18,1.00
2,Z_DEFAULT_STRATEGY,DISABLED,5.50,1.09,3.18,7.92,1.18,1.00
2,Z_HUFFMAN_ONLY,DISABLED,5.50,1.09,3.20,7.91,1.18,1.00
2,Z_FILTERED,DISABLED,5.49,1.09,3.20,7.91,1.18,1.00
2,Z_RLE,DISABLED,5.49,1.09,3.21,7.86,1.18,1.00
3,Z_DEFAULT_STRATEGY,DISABLED,4.49,1.07,2.92,6.50,1.17,0.99
3,Z_FIXED,DISABLED,4.48,1.07,2.95,6.50,1.17,0.99
3,Z_HUFFMAN_ONLY,DISABLED,4.49,1.07,2.94,6.49,1.17,0.99
3,Z_RLE,DISABLED,4.49,1.07,2.95,6.47,1.17,0.99
3,Z_FILTERED,DISABLED,4.49,1.07,2.93,6.45,1.17,0.99
4,Z_RLE,DISABLED,3.89,1.12,2.41,5.71,1.22,1.05
4,Z_DEFAULT_STRATEGY,DISABLED,3.89,1.12,2.39,5.69,1.22,1.05
4,Z_HUFFMAN_ONLY,DISABLED,3.89,1.12,2.40,5.66,1.22,1.05
4,Z_FILTERED,DISABLED,3.89,1.12,2.40,5.66,1.22,1.05
4,Z_FIXED,DISABLED,3.88,1.12,2.40,5.65,1.22,1.05
5,Z_RLE,DISABLED,3.18,1.11,2.19,4.54,1.21,1.03
5,Z_FILTERED,DISABLED,3.18,1.11,2.16,4.54,1.21,1.03
5,Z_FIXED,DISABLED,3.18,1.11,2.17,4.53,1.21,1.03
5,Z_DEFAULT_STRATEGY,DISABLED,3.18,1.11,2.19,4.53,1.21,1.03
5,Z_HUFFMAN_ONLY,DISABLED,3.18,1.11,2.17,4.45,1.21,1.03
1,Z_RLE,ALL,3.31,1.04,2.22,4.36,1.08,0.99
1,Z_DEFAULT_STRATEGY,ALL,3.31,1.04,2.22,4.36,1.08,0.99
1,Z_FILTERED,ALL,3.30,1.04,2.22,4.36,1.08,0.99
1,Z_FIXED,ALL,3.30,1.04,2.22,4.36,1.08,0.99
1,Z_HUFFMAN_ONLY,ALL,3.31,1.04,2.22,4.35,1.08,0.99
2,Z_RLE,ALL,2.99,1.03,2.02,3.96,1.06,0.98
2,Z_FIXED,ALL,2.99,1.03,2.02,3.96,1.06,0.98
2,Z_DEFAULT_STRATEGY,ALL,2.99,1.03,2.02,3.96,1.06,0.98
2,Z_FILTERED,ALL,2.97,1.03,2.02,3.95,1.06,0.98
2,Z_HUFFMAN_ONLY,ALL,2.99,1.03,2.02,3.95,1.06,0.98
6,Z_FILTERED,DISABLED,2.74,1.10,1.94,3.68,1.21,1.02
6,Z_HUFFMAN_ONLY,DISABLED,2.74,1.10,1.93,3.67,1.21,1.02
6,Z_DEFAULT_STRATEGY,DISABLED,2.73,1.10,1.94,3.66,1.21,1.02
6,Z_FIXED,DISABLED,2.74,1.10,1.93,3.66,1.21,1.02
6,Z_RLE,DISABLED,2.74,1.10,1.94,3.66,1.21,1.02
4,Z_FIXED,ALL,2.27,1.03,1.51,3.07,1.04,1.01
4,Z_HUFFMAN_ONLY,ALL,2.26,1.03,1.52,3.05,1.04,1.01
4,Z_RLE,ALL,2.26,1.03,1.52,3.05,1.04,1.01
4,Z_DEFAULT_STRATEGY,ALL,2.26,1.03,1.52,3.04,1.04,1.01
4,Z_FILTERED,ALL,2.25,1.03,1.52,3.03,1.04,1.01
3,Z_FIXED,ALL,2.21,1.01,1.62,2.82,1.04,0.98
3,Z_RLE,ALL,2.21,1.01,1.63,2.82,1.04,0.98
3,Z_HUFFMAN_ONLY,ALL,2.21,1.01,1.63,2.81,1.04,0.98
3,Z_DEFAULT_STRATEGY,ALL,2.21,1.01,1.63,2.81,1.04,0.98
3,Z_FILTERED,ALL,2.20,1.01,1.63,2.79,1.04,0.98
5,Z_FIXED,ALL,1.54,1.01,1.16,1.94,1.02,1.00
5,Z_RLE,ALL,1.54,1.01,1.15,1.93,1.02,1.00
5,Z_HUFFMAN_ONLY,ALL,1.54,1.01,1.15,1.93,1.02,1.00
5,Z_DEFAULT_STRATEGY,ALL,1.54,1.01,1.15,1.92,1.02,1.00
5,Z_FILTERED,ALL,1.54,1.01,1.16,1.92,1.02,1.00
6,Z_DEFAULT_STRATEGY,ALL,1.00,1.00,0.99,1.02,1.00,1.00
6,Z_RLE,ALL,1.00,1.00,0.99,1.02,1.00,1.00
6,Z_HUFFMAN_ONLY,ALL,1.00,1.00,0.99,1.02,1.00,1.00
6,Z_FIXED,ALL,1.00,1.00,0.99,1.02,1.00,1.00
6,Z_FILTERED,ALL,1.00,1.00,1.00,1.00,1.00,1.00
