name,compression_level,zlib_strategy,filter_choice,encoded_size,encode_time,size_increase,speedup
large_rgb8.png,0,Z_DEFAULT_STRATEGY,DISABLED,25933055,94083,1.90,81.13
large_rgb8.png,1,Z_RLE,DISABLED,15288285,1196009,1.12,6.38
large_rgb8.png,1,Z_FILTERED,DISABLED,15288285,1198643,1.12,6.37
large_rgb8.png,1,Z_DEFAULT_STRATEGY,DISABLED,15288285,1199128,1.12,6.37
large_rgb8.png,1,Z_HUFFMAN_ONLY,DISABLED,15288285,1199249,1.12,6.36
large_rgb8.png,1,Z_FIXED,DISABLED,15288285,1200087,1.12,6.36
large_rgb8.png,2,Z_FILTERED,DISABLED,15019186,1326489,1.10,5.75
large_rgb8.png,2,Z_RLE,DISABLED,15019186,1327807,1.10,5.75
large_rgb8.png,2,Z_FIXED,DISABLED,15019186,1328888,1.10,5.74
large_rgb8.png,2,Z_DEFAULT_STRATEGY,DISABLED,15019186,1329314,1.10,5.74
large_rgb8.png,2,Z_HUFFMAN_ONLY,DISABLED,15019186,1329883,1.10,5.74
large_rgb8.png,3,Z_FILTERED,DISABLED,14645499,1560585,1.07,4.89
large_rgb8.png,3,Z_FIXED,DISABLED,14645499,1563008,1.07,4.88
large_rgb8.png,3,Z_DEFAULT_STRATEGY,DISABLED,14645499,1563535,1.07,4.88
large_rgb8.png,3,Z_RLE,DISABLED,14645499,1566547,1.07,4.87
large_rgb8.png,3,Z_HUFFMAN_ONLY,DISABLED,14645499,1568130,1.07,4.87
large_rgb8.png,4,Z_DEFAULT_STRATEGY,DISABLED,15183454,1956723,1.11,3.90
large_rgb8.png,4,Z_FILTERED,DISABLED,15183454,1957451,1.11,3.90
large_rgb8.png,4,Z_RLE,DISABLED,15183454,1967076,1.11,3.88
large_rgb8.png,4,Z_FIXED,DISABLED,15183454,1975485,1.11,3.86
large_rgb8.png,4,Z_HUFFMAN_ONLY,DISABLED,15183454,1976602,1.11,3.86
large_rgb8.png,1,Z_HUFFMAN_ONLY,ALL,14414994,2277409,1.05,3.35
large_rgb8.png,1,Z_FILTERED,ALL,14414994,2278248,1.05,3.35
large_rgb8.png,1,Z_DEFAULT_STRATEGY,ALL,14414994,2278867,1.05,3.35
large_rgb8.png,1,Z_RLE,ALL,14414994,2279740,1.05,3.35
large_rgb8.png,1,Z_FIXED,ALL,14414994,2289950,1.05,3.33
large_rgb8.png,5,Z_DEFAULT_STRATEGY,DISABLED,14981349,2443483,1.10,3.12
large_rgb8.png,5,Z_RLE,DISABLED,14981349,2443666,1.10,3.12
large_rgb8.png,5,Z_HUFFMAN_ONLY,DISABLED,14981349,2446317,1.10,3.12
large_rgb8.png,5,Z_FIXED,DISABLED,14981349,2448302,1.10,3.12
large_rgb8.png,5,Z_FILTERED,DISABLED,14981349,2467063,1.10,3.09
large_rgb8.png,2,Z_FILTERED,ALL,14277843,2527180,1.04,3.02
large_rgb8.png,2,Z_HUFFMAN_ONLY,ALL,14277843,2529066,1.04,3.02
large_rgb8.png,2,Z_FIXED,ALL,14277843,2529774,1.04,3.02
large_rgb8.png,2,Z_DEFAULT_STRATEGY,ALL,14277843,2531267,1.04,3.02
large_rgb8.png,2,Z_RLE,ALL,14277843,2532150,1.04,3.01
large_rgb8.png,6,Z_FILTERED,DISABLED,14934750,2635684,1.09,2.90
large_rgb8.png,6,Z_FIXED,DISABLED,14934750,2638548,1.09,2.89
large_rgb8.png,6,Z_HUFFMAN_ONLY,DISABLED,14934750,2642099,1.09,2.89
large_rgb8.png,6,Z_RLE,DISABLED,14934750,2655145,1.09,2.87
large_rgb8.png,6,Z_DEFAULT_STRATEGY,DISABLED,14934750,2664761,1.09,2.86
large_rgb8.png,4,Z_FIXED,ALL,13967667,3364389,1.02,2.27
large_rgb8.png,4,Z_DEFAULT_STRATEGY,ALL,13967667,3368582,1.02,2.27
large_rgb8.png,4,Z_FILTERED,ALL,13967667,3384292,1.02,2.26
large_rgb8.png,4,Z_RLE,ALL,13967667,3389088,1.02,2.25
large_rgb8.png,4,Z_HUFFMAN_ONLY,ALL,13967667,3394695,1.02,2.25
large_rgb8.png,3,Z_FILTERED,ALL,14076160,3430321,1.03,2.23
large_rgb8.png,3,Z_HUFFMAN_ONLY,ALL,14076160,3436757,1.03,2.22
large_rgb8.png,3,Z_FIXED,ALL,14076160,3438431,1.03,2.22
large_rgb8.png,3,Z_RLE,ALL,14076160,3440673,1.03,2.22
large_rgb8.png,3,Z_DEFAULT_STRATEGY,ALL,14076160,3446886,1.03,2.21
large_rgb8.png,5,Z_DEFAULT_STRATEGY,ALL,13784988,5071707,1.01,1.50
large_rgb8.png,5,Z_FIXED,ALL,13784988,5078065,1.01,1.50
large_rgb8.png,5,Z_HUFFMAN_ONLY,ALL,13784988,5080338,1.01,1.50
large_rgb8.png,5,Z_FILTERED,ALL,13784988,5099215,1.01,1.50
large_rgb8.png,5,Z_RLE,ALL,13784988,5103943,1.01,1.50
large_rgb8.png,6,Z_RLE,ALL,13666556,7625250,1.00,1.00
large_rgb8.png,6,Z_HUFFMAN_ONLY,ALL,13666556,7625487,1.00,1.00
large_rgb8.png,6,Z_FILTERED,ALL,13666556,7632559,1.00,1.00
large_rgb8.png,6,Z_FIXED,ALL,13666556,7633238,1.00,1.00
