compression_level,zlib_strategy,filter_choice,speedup_avg,size_increase_avg,speedup_worst,speedup_best,size_increase_worst,size_increase_best
0,Z_DEFAULT_STRATEGY,DISABLED,69.41,2.35,16.78,99.06,3.87,1.69
1,Z_DEFAULT_STRATEGY,DISABLED,5.86,1.11,2.64,8.92,1.14,1.04
1,Z_RLE,DISABLED,5.86,1.11,2.64,8.90,1.14,1.04
1,Z_FILTERED,DISABLED,5.85,1.11,2.63,8.88,1.14,1.04
1,Z_HUFFMAN_ONLY,DISABLED,5.85,1.11,2.64,8.88,1.14,1.04
1,Z_FIXED,DISABLED,5.85,1.11,2.65,8.87,1.14,1.04
2,Z_FILTERED,DISABLED,5.21,1.09,2.41,7.71,1.12,1.02
2,Z_RLE,DISABLED,5.20,1.09,2.41,7.70,1.12,1.02
2,Z_HUFFMAN_ONLY,DISABLED,5.20,1.09,2.42,7.69,1.12,1.02
2,Z_FIXED,DISABLED,5.20,1.09,2.41,7.68,1.12,1.02
2,Z_DEFAULT_STRATEGY,DISABLED,5.20,1.09,2.41,7.67,1.12,1.02
3,Z_FILTERED,DISABLED,4.38,1.07,2.03,6.13,1.11,1.01
3,Z_HUFFMAN_ONLY,DISABLED,4.37,1.07,2.03,6.09,1.11,1.01
3,Z_DEFAULT_STRATEGY,DISABLED,4.36,1.07,2.03,6.08,1.11,1.01
3,Z_FIXED,DISABLED,4.36,1.07,2.02,6.08,1.11,1.01
3,Z_RLE,DISABLED,4.36,1.07,2.03,6.07,1.11,1.01
4,Z_FILTERED,DISABLED,3.61,1.09,1.63,5.41,1.16,1.01
4,Z_DEFAULT_STRATEGY,DISABLED,3.60,1.09,1.63,5.41,1.16,1.01
4,Z_RLE,DISABLED,3.60,1.09,1.61,5.39,1.16,1.01
4,Z_FIXED,DISABLED,3.59,1.09,1.63,5.39,1.16,1.01
4,Z_HUFFMAN_ONLY,DISABLED,3.59,1.09,1.62,5.38,1.16,1.01
1,Z_FILTERED,ALL,2.98,1.11,0.95,4.33,1.32,1.03
1,Z_FIXED,ALL,2.98,1.11,0.95,4.32,1.32,1.03
1,Z_RLE,ALL,2.98,1.11,0.95,4.31,1.32,1.03
1,Z_DEFAULT_STRATEGY,ALL,2.98,1.11,0.95,4.31,1.32,1.03
1,Z_HUFFMAN_ONLY,ALL,2.98,1.11,0.95,4.31,1.32,1.03
2,Z_FILTERED,ALL,2.70,1.10,0.93,3.90,1.31,1.02
2,Z_FIXED,ALL,2.70,1.10,0.93,3.89,1.31,1.02
2,Z_DEFAULT_STRATEGY,ALL,2.70,1.10,0.92,3.89,1.31,1.02
2,Z_RLE,ALL,2.70,1.10,0.92,3.89,1.31,1.02
2,Z_HUFFMAN_ONLY,ALL,2.70,1.10,0.93,3.88,1.31,1.02
5,Z_FILTERED,DISABLED,2.69,1.08,1.26,3.57,1.16,1.00
5,Z_DEFAULT_STRATEGY,DISABLED,2.69,1.08,1.25,3.55,1.16,1.00
5,Z_FIXED,DISABLED,2.69,1.08,1.25,3.55,1.16,1.00
5,Z_HUFFMAN_ONLY,DISABLED,2.68,1.08,1.24,3.54,1.16,1.00
5,Z_RLE,DISABLED,2.68,1.08,1.25,3.52,1.16,1.00
4,Z_FILTERED,ALL,2.07,1.08,0.79,3.02,1.28,1.01
4,Z_DEFAULT_STRATEGY,ALL,2.07,1.08,0.80,3.01,1.28,1.01
4,Z_FIXED,ALL,2.07,1.08,0.79,3.01,1.28,1.01
4,Z_RLE,ALL,2.07,1.08,0.79,3.01,1.28,1.01
4,Z_HUFFMAN_ONLY,ALL,2.07,1.08,0.79,3.00,1.28,1.01
6,Z_FILTERED,DISABLED,2.38,1.07,0.99,2.90,1.16,1.00
6,Z_FIXED,DISABLED,2.38,1.07,1.00,2.89,1.16,1.00
6,Z_HUFFMAN_ONLY,DISABLED,2.38,1.07,1.00,2.89,1.16,1.00
6,Z_RLE,DISABLED,2.37,1.07,1.00,2.87,1.16,1.00
6,Z_DEFAULT_STRATEGY,DISABLED,2.38,1.07,1.00,2.86,1.16,1.00
3,Z_FILTERED,ALL,2.02,1.09,0.87,2.75,1.31,1.02
3,Z_DEFAULT_STRATEGY,ALL,2.02,1.09,0.87,2.75,1.31,1.02
3,Z_RLE,ALL,2.02,1.09,0.87,2.74,1.31,1.02
3,Z_FIXED,ALL,2.02,1.09,0.87,2.74,1.31,1.02
3,Z_HUFFMAN_ONLY,ALL,2.02,1.09,0.86,2.74,1.31,1.02
5,Z_FILTERED,ALL,1.38,1.06,0.72,1.82,1.27,1.00
5,Z_DEFAULT_STRATEGY,ALL,1.38,1.06,0.72,1.82,1.27,1.00
5,Z_RLE,ALL,1.37,1.06,0.72,1.81,1.27,1.00
5,Z_HUFFMAN_ONLY,ALL,1.38,1.06,0.72,1.81,1.27,1.00
5,Z_FIXED,ALL,1.37,1.06,0.72,1.80,1.27,1.00
6,Z_DEFAULT_STRATEGY,ALL,0.92,1.05,0.63,1.00,1.27,1.00
6,Z_RLE,ALL,0.92,1.05,0.63,1.00,1.27,1.00
6,Z_HUFFMAN_ONLY,ALL,0.92,1.05,0.63,1.00,1.27,1.00
6,Z_FIXED,ALL,0.92,1.05,0.63,1.00,1.27,1.00
6,Z_FILTERED,ALL,0.93,1.05,0.63,1.00,1.27,1.00
